Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kyrgyzstan,"16,815","18,184","20,288","23,124","24,987","25,107","28,459","31,280","33,104","35,208"
Laos,"24,486","26,987","31,202","34,600","39,000","41,583","46,850","50,445","54,846","58,361"
Latvia,"37,870","39,646","43,312","45,564","47,483","49,398","52,357","55,718","59,268","60,617"
Lebanon,"74,124","76,310","82,029","88,503","94,025","98,413","103,819","108,794","109,188","103,344"
Lesotho,"4,372","4,688","4,795","5,407","5,926","6,389","6,188","5,723","5,765","5,683"
Liberia,"3,901","4,288","4,773","5,647","5,922","5,624","6,283","7,203","7,460","7,394"
Libya,"196,456","99,576","172,534","144,459","126,892","137,239","137,403","154,436","170,519","153,970"
Lithuania,"64,030","69,298","73,809","79,034","82,647","83,784","88,692","95,675","101,775","108,312"
Luxembourg,"47,485","48,971","51,309","54,839","58,578","61,454","65,973","68,884","71,321","74,633"
Macau,"53,610","66,543","75,588","88,663","90,217","70,023","70,409","78,446","85,382","84,590"
Madagascar,"32,474","33,667","34,211","35,257","36,702","37,486","39,997","40,515","42,766","45,403"
Malawi,"20,925","22,393","22,415","24,722","24,747","24,133","25,100","26,013","27,778","29,783"
Malaysia,"586,880","630,696","677,647","701,700","745,387","750,777","783,874","829,297","889,379","944,217"
Maldives,"4,650","5,153","5,438","6,140","6,957","7,628","8,279","8,964","9,964","10,871"
Mali,"26,895","28,340","28,185","29,823","32,435","35,447","39,327","41,593","44,565","47,472"
Malta,"11,762","12,061","12,703","13,757","14,924","16,674","18,079","20,653","22,692","24,717"
Marshall Islands,156,159,160,168,169,174,180,190,205,230
Mauritania,"14,945","15,889","16,420","18,036","16,883","16,995","19,569","21,878","23,447","24,590"
Mauritius,"19,899","21,137","21,591","22,790","23,805","24,934","26,929","28,009","29,799","31,175"
Mexico,"1,884,750","1,989,888","2,103,288","2,150,334","2,254,436","2,309,495","2,457,954","2,540,453","2,649,897","2,687,605"
Federated States of Micronesia,290,307,308,301,299,315,321,334,342,361
Moldova,"18,307","19,772","21,055","23,961","25,218","26,233","29,732","31,586","33,634","35,429"
Mongolia,"20,626","24,692","28,890","30,402","32,507","31,928","32,818","35,392","39,007","41,884"
Montenegro,"8,520","8,974","8,604","9,237","9,558","10,164","11,324","12,263","13,181","13,947"
Morocco,"224,987","241,675","244,714","256,127","248,262","269,769","273,971","285,550","301,046","314,949"
Mozambique,"23,005","25,154","26,277","28,099","30,384","35,483","38,371","36,902","39,063","40,639"
Myanmar,"141,939","152,793","172,404","192,715","209,644","216,278","213,835","225,517","245,458","266,426"
Namibia,"17,755","19,044","20,502","21,744","23,796","24,615","24,588","24,438","25,263","25,471"
Nauru,47,55,70,74,88,91,96,92,92,102
Nepal,"58,491","61,740","67,618","72,735","79,300","80,943","81,509","98,516","108,454","117,616"
Netherlands,"750,525","777,881","792,042","827,476","830,319","852,113","890,399","948,182","992,801","1,029,207"
New Zealand,"136,694","142,011","144,379","157,721","167,210","170,656","185,145","197,091","208,655","218,690"
Nicaragua,"23,192","25,166","26,490","27,950","30,356","32,945","35,895","38,335","37,894","37,414"
Niger,"17,466","18,247","20,574","20,822","21,910","22,907","23,871","25,128","27,505","29,685"
Nigeria,"755,511","808,786","836,150","897,506","971,492","982,912","973,442","990,700","1,032,880","1,073,411"
North Macedonia,"23,039","24,064","24,559","26,270","27,776","28,760","31,370","32,458","34,158","36,090"
Norway,"299,802","309,370","330,093","342,254","340,765","315,230","310,272","334,929","345,442","355,187"
Oman,"153,500","161,202","177,869","181,369","178,709","152,787","148,656","155,415","161,021","161,875"
